cod_prod_lj;cod_loja;cod_produto;ref_varejista;dia;semana;mes;decr_mes;trimestre;ano;periodo;periodo2;valor;quantidade;indicador3
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;187.48;27;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;65.98;2;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;1570.44;38;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;150.41;13;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;306.19;45;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;54.39;2;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;95.83;3;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;12.49;1;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;28.68;5;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;31.99;1;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;567.84;16;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;49.96;4;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;110.78;16;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;127.96;4;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;526.88;17;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;88.7;8;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;268.49;39;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;131.96;4;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;917.73;27;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;199.84;16;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;258.63;37;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;503.88;12;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;12.49;1;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;93.68;14;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;63.98;2;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;472.21;15;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;37.47;3;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;90.87;13;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;137.96;4;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;62.45;5;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;132.81;19;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;131.96;4;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;1037.16;25;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;62.45;5;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;219.5;32;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;362.89;11;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;1231.3;36;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;179.87;15;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;271.23;40;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;98.97;3;
